symbol,Name,FiscalYearEnd,TotalRevenue,MarketCapitalization,NetIncome,TotalDebt,ShareholdersEquity,Dividends,P/E Ratio,Debt/Equity Ratio
AAPL,Apple,2022,394328.0,2066.94,99803.0,120.067304,50.672,0.91,0.020710199092211657,2.3695
AAPL,Apple,2021,365817.0,2913.28,94680.0,124.716312,63.09,0.86,0.03076975073933249,1.9768
AAPL,Apple,2020,274515.0,2255.97,57411.0,112.4353512,65.339,0.81,0.03929508282384908,1.7208
AAPL,Apple,2019,260174.0,1304.76,55256.0,108.042672,90.488,0.76,0.023613001303025915,1.194
AAPL,Apple,2018,265595.0,748.54,59531.0,114.4865695,107.147,0.7,0.01257395306646957,1.0685
AAPL,Apple,2017,229234.0,868.87,48351.0,115.682561,134.047,0.62,0.01797005232570164,0.8630000000000001
AAPL,Apple,2016,215639.0,617.59,45687.0,87.0297714,128.249,0.56,0.013517849716549566,0.6786
AAPL,Apple,2015,233715.0,586.86,53394.0,64.332345,119.355,0.51,0.010991122598044724,0.539
AAPL,Apple,2014,182795.0,647.36,39510.0,35.2934708,111.547,0.46,0.01638471273095419,0.3164
AAPL,Apple,2013,170910.0,504.79,37037.0,16.9632777,123.549,0.42,0.01362934362934363,0.13729999999999998
AAPL,Apple,2012,156508.0,500.61,41733.0,0.0,118.21,0.19,0.011995543095392136,0.0
AAPL,Apple,2011,108249.0,376.4,25922.0,0.0,76.615,,0.01452048453051462,0.0
AAPL,Apple,2010,65225.0,296.89,14013.0,0.0,47.791,,0.021186755155926638,0.0
AAPL,Apple,2009,42905.0,189.8,8235.0,0.0,31.64,,0.023047965998785672,0.0
MSFT,Microsoft,2023,211915.0,2451.23,72361.0,47.2456893,206.223,2.79,0.033875015547048824,0.2291
MSFT,Microsoft,2022,198270.0,1787.73,72738.0,49.7794038,166.542,2.54,0.024577662294811516,0.2989
MSFT,Microsoft,2021,168088.0,2525.08,61271.0,58.144086,141.988,2.3,0.041211666204240174,0.40950000000000003
MSFT,Microsoft,2020,143015.0,1681.61,44281.0,63.3281312,118.304,2.09,0.037975881303493594,0.5353
MSFT,Microsoft,2019,125843.0,1203.06,39240.0,72.173349,102.33,1.89,0.030659021406727827,0.7053
MSFT,Microsoft,2018,110360.0,779.67,16571.0,76.2411806,82.718,1.72,0.04705026854142779,0.9217000000000001
MSFT,Microsoft,2017,96571.0,659.91,25489.0,86.1935997,87.711,1.59,0.02588999176115187,0.9826999999999999
MSFT,Microsoft,2016,91154.0,483.16,20539.0,53.4577725,71.997,1.47,0.023524027459954234,0.7424999999999999
MSFT,Microsoft,2015,93580.0,443.17,12193.0,35.2925781,80.083,1.29,0.0363462642499795,0.44070000000000004
MSFT,Microsoft,2014,86833.0,382.88,22074.0,22.6435248,89.784,1.15,0.017345293105010418,0.2522
MSFT,Microsoft,2013,77849.0,312.3,21863.0,15.5993344,78.944,0.97,0.01428440744637058,0.1976
MSFT,Microsoft,2012,73723.0,224.8,16978.0,11.94534,66.363,0.83,0.013240664389209567,0.18
MSFT,Microsoft,2011,69943.0,218.38,23150.0,11.9189304,57.083,0.68,0.009433261339092872,0.2088
MSFT,Microsoft,2010,62484.0,238.78,18760.0,5.938105,46.175,0.55,0.012728144989339019,0.12860000000000002
MSFT,Microsoft,2009,58437.0,270.64,14569.0,5.7477774,39.558,0.52,0.018576429404900816,0.1453
GOOG,Google,2022,282836.0,1144.35,59972.0,14.7026656,256.144,0.2,0.019081404655505903,0.0574
GOOG,Google,2021,257637.0,1910.26,76033.0,14.8213015,251.635,0.001,0.02512409085528652,0.0589
GOOG,Google,2020,182527.0,1179.4,40269.0,13.9312544,222.544,0.001,0.029288037944821082,0.0626
GOOG,Google,2019,161857.0,917.82,34343.0,4.5525892,201.442,0.001,0.02672509681740093,0.0226
GOOG,Google,2018,136819.0,719.63,30736.0,4.0143928,177.628,0.001,0.023413261322228006,0.022600000000000006
GOOG,Google,2017,110855.0,726.47,12662.0,3.965052,152.502,0.001,0.05737403253830359,0.026
GOOG,Google,2016,90272.0,530.84,19478.0,3.9347188,139.036,0.001,0.027253311428278058,0.028300000000000002
GOOG,Google,2015,74989.0,521.67,15826.0,5.2223654,120.331,0.001,0.032962845949703015,0.0434
GOOG,Google,2014,66001.0,354.75,14136.0,5.234544,103.86,0.001,0.025095500848896436,0.05039999999999999
GOOG,Google,2013,55519.0,371.53,12733.0,5.2472709,87.309,0.001,0.029178512526505926,0.0601
GOOG,Google,2012,46039.0,230.54,10737.0,5.536398,71.715,0.001,0.02147154698705411,0.0772
GOOG,Google,2011,37905.0,207.65,9737.0,4.2038835,58.145,0.001,0.02132587039129095,0.07229999999999999
GOOG,Google,2010,29321.0,188.54,8505.0,3.4634509,46.241,0.001,0.02216813639035861,0.07490000000000001
GOOG,Google,2009,23651.0,195.27,6520.0,0.0,36.004,0.001,0.029949386503067485,0.0
PYPL,Paypal,2022,27518.0,81.19,2419.0,10.4167812,20.274,0.1,0.03356345597354279,0.5138
PYPL,Paypal,2021,25371.0,221.57,4169.0,8.0498535,21.727,0.05,0.05314703765891101,0.37049999999999994
PYPL,Paypal,2020,21454.0,274.41,4202.0,8.9380665,20.063,0.07,0.06530461684911948,0.4455
PYPL,Paypal,2019,17772.0,127.01,2459.0,4.9652757,16.929,0.12,0.05165107767385116,0.29330000000000006
PYPL,Paypal,2018,15451.0,99.09,2057.0,1.9986414,15.386,0.11,0.04817209528439475,0.1299
PYPL,Paypal,2017,13094.0,88.48,1795.0,0.999625,15.994,0.05,0.0492924791086351,0.0625
PYPL,Paypal,2016,10842.0,47.63,1401.0,0.0,14.712,0.01,0.0339971448965025,0.0
PYPL,Paypal,2015,9248.0,44.23,1228.0,0.0,13.759,0.03,0.03601791530944625,0.0
PYPL,Paypal,2014,8025.0,,419.0,1.09286,8.248,0.09,,0.1325
AIG,American Inl,2022,56437.0,46.99,10247.0,27.1782225,42.235,1.28,0.0045857324094857035,0.6435000000000001
AIG,American Inl,2021,52057.0,47.21,9359.0,30.1627824,68.912,1.28,0.00504434234426755,0.4377
AIG,American Inl,2020,43736.0,32.62,-5973.0,37.5373614,67.199,1.28,-0.005461242256822367,0.5586000000000001
AIG,American Inl,2019,49746.0,44.65,3326.0,35.3519761,67.427,1.28,0.013424533974744437,0.5243
AIG,American Inl,2018,47389.0,34.86,-6.0,34.5401343,57.309,1.28,-5.81,0.6027
